Category,Cluster_Number,Color,Customer ID,Discount Applied,Frequency of Purchases,Gender,Item Purchased,Location,Payment Method,Preferred Payment Method,Promo Code Used,Season,Shipping Type,Size,Subscription Status,Age,Previous Purchases,Purchase Amount (USD),Review Rating
Clothing,Cluster 3,Olive,2343,No,Fortnightly,Male,Skirt,Tennessee,Credit Card,Debit Card,No,Fall,Standard,M,No,20,16,89,4.9
Clothing,Cluster 3,Red,2344,No,Monthly,Male,Socks,Maryland,Venmo,PayPal,No,Summer,2-Day Shipping,M,No,58,44,49,4.4
Footwear,Cluster 1,Lavender,2345,No,Bi-Weekly,Male,Sandals,Rhode Island,Credit Card,Venmo,No,Fall,Express,XL,No,34,14,92,3.5
Clothing,Cluster 3,Orange,2346,No,Every 3 Months,Male,T-shirt,New York,Bank Transfer,Bank Transfer,No,Winter,Express,S,No,28,23,32,3.3
Outerwear,Cluster 2,Brown,2347,No,Fortnightly,Male,Jacket,New Mexico,Bank Transfer,Debit Card,No,Winter,Standard,L,No,22,46,67,3.1
Accessories,Cluster 4,Gray,2348,No,Every 3 Months,Male,Belt,California,Credit Card,Cash,No,Fall,Express,S,No,37,46,64,4.2
Footwear,Cluster 1,Orange,2349,No,Every 3 Months,Male,Shoes,Maine,PayPal,PayPal,No,Spring,Next Day Air,M,No,54,16,84,4.9
Clothing,Cluster 3,Orange,2350,No,Every 3 Months,Male,Blouse,New York,Venmo,Credit Card,No,Fall,Standard,M,No,65,40,34,3.9
Footwear,Cluster 1,Turquoise,2351,No,Annually,Male,Shoes,Hawaii,Bank Transfer,Cash,No,Winter,Free Shipping,M,No,57,21,26,4.2
Clothing,Cluster 3,Cyan,2352,No,Bi-Weekly,Male,Sweater,New Hampshire,Credit Card,PayPal,No,Fall,Store Pickup,S,No,38,25,50,4.9
Footwear,Cluster 1,Yellow,2353,No,Quarterly,Male,Boots,Nebraska,Credit Card,Bank Transfer,No,Fall,Store Pickup,M,No,70,25,46,2.8
Accessories,Cluster 4,White,2354,No,Every 3 Months,Male,Handbag,Montana,Credit Card,Debit Card,No,Fall,Standard,M,No,56,25,71,4.1
Clothing,Cluster 3,Blue,2355,No,Monthly,Male,Blouse,Wisconsin,Cash,Venmo,No,Summer,Next Day Air,M,No,56,27,78,4.8
Clothing,Cluster 3,Purple,2356,No,Monthly,Male,Skirt,Tennessee,PayPal,Cash,No,Winter,Next Day Air,S,No,22,12,35,4.1
Accessories,Cluster 4,Gray,2357,No,Quarterly,Male,Backpack,Montana,Bank Transfer,Debit Card,No,Summer,Free Shipping,M,No,57,27,58,3
Clothing,Cluster 3,Cyan,2358,No,Bi-Weekly,Male,Shirt,Michigan,Bank Transfer,Credit Card,No,Fall,2-Day Shipping,L,No,53,40,67,4.2
Clothing,Cluster 3,Pink,2359,No,Quarterly,Male,Sweater,Texas,Bank Transfer,Credit Card,No,Spring,Standard,L,No,53,38,93,3.8
Accessories,Cluster 4,Gold,2360,No,Every 3 Months,Male,Scarf,Pennsylvania,Venmo,Bank Transfer,No,Spring,2-Day Shipping,S,No,19,44,81,3.3
Accessories,Cluster 4,Silver,2361,No,Every 3 Months,Male,Handbag,New York,Debit Card,Venmo,No,Fall,2-Day Shipping,L,No,49,27,80,4.7
Accessories,Cluster 4,Gray,2362,No,Every 3 Months,Male,Scarf,Alabama,Cash,Credit Card,No,Spring,2-Day Shipping,M,No,44,30,64,4.3
Clothing,Cluster 3,Brown,2363,No,Monthly,Male,Jeans,Virginia,Venmo,Credit Card,No,Fall,Standard,M,No,27,24,41,2.7
Clothing,Cluster 3,Pink,2364,No,Bi-Weekly,Male,Socks,Pennsylvania,PayPal,Cash,No,Winter,Express,XL,No,60,38,79,4.2
Accessories,Cluster 4,Maroon,2365,No,Quarterly,Male,Sunglasses,Mississippi,Credit Card,PayPal,No,Winter,Free Shipping,L,No,62,4,60,4.2
Footwear,Cluster 1,Peach,2366,No,Monthly,Male,Sneakers,Wyoming,Cash,Venmo,No,Winter,Next Day Air,S,No,52,32,91,2.5
Footwear,Cluster 1,Brown,2367,No,Fortnightly,Male,Shoes,New Mexico,PayPal,Credit Card,No,Winter,Express,L,No,30,32,66,3.6
Clothing,Cluster 3,Green,2368,No,Bi-Weekly,Male,Socks,North Dakota,Bank Transfer,Bank Transfer,No,Winter,Standard,L,No,66,28,85,3.4
Accessories,Cluster 4,Lavender,2369,No,Every 3 Months,Male,Sunglasses,New Jersey,Credit Card,Debit Card,No,Summer,Standard,M,No,29,6,38,3.3
Clothing,Cluster 3,Cyan,2370,No,Monthly,Male,Sweater,Vermont,Debit Card,PayPal,No,Winter,Standard,M,No,24,24,23,4.6
Footwear,Cluster 1,Black,2371,No,Weekly,Male,Shoes,Alaska,Debit Card,Venmo,No,Spring,Store Pickup,M,No,51,38,71,3.9
Clothing,Cluster 3,Charcoal,2372,No,Annually,Male,Socks,Indiana,PayPal,Debit Card,No,Winter,Next Day Air,M,No,67,28,25,3.7
Footwear,Cluster 1,Silver,2373,No,Fortnightly,Male,Boots,Alabama,Debit Card,PayPal,No,Spring,Express,XL,No,50,9,39,3.1
Clothing,Cluster 3,Gray,2374,No,Every 3 Months,Male,Hoodie,Michigan,Bank Transfer,Debit Card,No,Spring,Express,M,No,37,21,20,4.9
Accessories,Cluster 4,Peach,2375,No,Monthly,Male,Gloves,Washington,Cash,Debit Card,No,Winter,Standard,L,No,69,31,73,4.7
Accessories,Cluster 4,Peach,2376,No,Quarterly,Male,Backpack,Virginia,PayPal,Credit Card,No,Fall,Next Day Air,L,No,60,18,63,2.9
Accessories,Cluster 4,Cyan,2377,No,Weekly,Male,Gloves,Tennessee,Venmo,Cash,No,Spring,Express,XL,No,21,5,94,4.1
Clothing,Cluster 3,Magenta,2378,No,Annually,Male,Blouse,South Dakota,Venmo,Cash,No,Fall,Next Day Air,L,No,44,22,94,4
Accessories,Cluster 4,Teal,2379,No,Bi-Weekly,Male,Scarf,New Hampshire,Debit Card,PayPal,No,Summer,Store Pickup,L,No,26,37,71,2.7
Accessories,Cluster 4,Peach,2380,No,Monthly,Male,Hat,South Dakota,Credit Card,Debit Card,No,Spring,2-Day Shipping,M,No,40,22,77,4
Accessories,Cluster 4,Black,2381,No,Fortnightly,Male,Scarf,Pennsylvania,Credit Card,PayPal,No,Fall,Next Day Air,M,No,41,36,66,2.5
Footwear,Cluster 1,Teal,2382,No,Annually,Male,Sandals,Wisconsin,Bank Transfer,PayPal,No,Summer,Free Shipping,M,No,62,23,23,4.5
Clothing,Cluster 3,Turquoise,2383,No,Weekly,Male,Sweater,California,Debit Card,Debit Card,No,Spring,Express,M,No,39,44,60,3.9
Accessories,Cluster 4,Gold,2384,No,Annually,Male,Backpack,Rhode Island,Cash,Bank Transfer,No,Spring,2-Day Shipping,L,No,53,25,72,4.9
Clothing,Cluster 3,Green,2385,No,Quarterly,Male,Blouse,Alabama,Debit Card,PayPal,No,Winter,2-Day Shipping,L,No,24,40,35,3.3
Accessories,Cluster 4,Brown,2386,No,Weekly,Male,Scarf,Oklahoma,Venmo,PayPal,No,Fall,Express,M,No,41,12,31,3.8
Clothing,Cluster 3,Blue,2387,No,Monthly,Male,Socks,Illinois,Credit Card,Venmo,No,Summer,Standard,L,No,19,14,33,2.9
Accessories,Cluster 4,Gold,2388,No,Monthly,Male,Hat,Tennessee,Credit Card,Debit Card,No,Summer,2-Day Shipping,M,No,36,14,95,4
Clothing,Cluster 3,Peach,2389,No,Annually,Male,Dress,Alabama,Credit Card,Debit Card,No,Fall,Store Pickup,M,No,21,10,68,4.1
Outerwear,Cluster 2,Violet,2390,No,Every 3 Months,Male,Coat,Kansas,Cash,Bank Transfer,No,Spring,Store Pickup,M,No,25,17,87,3.1
Clothing,Cluster 3,Yellow,2391,No,Fortnightly,Male,Shirt,Arizona,Debit Card,Debit Card,No,Winter,Express,XL,No,65,24,64,4.6
Clothing,Cluster 3,Black,2392,No,Quarterly,Male,Shirt,Michigan,PayPal,Bank Transfer,No,Winter,Next Day Air,M,No,42,31,74,4.6
Clothing,Cluster 3,Silver,2393,No,Annually,Male,Jeans,Missouri,Cash,Cash,No,Spring,2-Day Shipping,L,No,40,36,62,2.6
Clothing,Cluster 3,Brown,2394,No,Every 3 Months,Male,Socks,Louisiana,Debit Card,PayPal,No,Winter,2-Day Shipping,M,No,58,38,97,5
Footwear,Cluster 1,Peach,2395,No,Fortnightly,Male,Sandals,Connecticut,Cash,Debit Card,No,Fall,2-Day Shipping,L,No,40,23,47,2.9
Clothing,Cluster 3,Cyan,2396,No,Bi-Weekly,Male,Blouse,Connecticut,Debit Card,PayPal,No,Winter,2-Day Shipping,M,No,62,47,83,3.5
Clothing,Cluster 3,Olive,2397,No,Weekly,Male,Shirt,Oregon,Credit Card,Venmo,No,Spring,2-Day Shipping,M,No,38,20,82,3.7
Accessories,Cluster 4,Black,2398,No,Monthly,Male,Sunglasses,West Virginia,Bank Transfer,Venmo,No,Fall,Store Pickup,L,No,37,41,26,2.9
Outerwear,Cluster 2,Orange,2399,No,Fortnightly,Male,Jacket,Florida,PayPal,Bank Transfer,No,Winter,Free Shipping,M,No,65,44,81,4.3
Clothing,Cluster 3,Beige,2400,No,Monthly,Male,Dress,New Hampshire,Debit Card,Cash,No,Spring,Store Pickup,L,No,55,31,44,3.2
Accessories,Cluster 4,Peach,2401,No,Bi-Weekly,Male,Sunglasses,Oregon,PayPal,Credit Card,No,Winter,Next Day Air,M,No,43,11,88,4.2
Footwear,Cluster 1,Pink,2402,No,Bi-Weekly,Male,Boots,Oregon,Cash,PayPal,No,Winter,Standard,M,No,43,25,76,4.2
Accessories,Cluster 4,Brown,2403,No,Weekly,Male,Scarf,Utah,PayPal,Cash,No,Winter,Free Shipping,M,No,45,31,89,3.8
Clothing,Cluster 3,Magenta,2404,No,Weekly,Male,Shorts,Missouri,Bank Transfer,Debit Card,No,Fall,Standard,M,No,64,40,22,4.4
Clothing,Cluster 3,Cyan,2405,No,Bi-Weekly,Male,Shorts,West Virginia,Venmo,Credit Card,No,Winter,2-Day Shipping,L,No,28,23,33,3.1
Clothing,Cluster 3,Silver,2406,No,Quarterly,Male,Jeans,California,Venmo,Debit Card,No,Fall,Standard,XL,No,69,5,97,5
Accessories,Cluster 4,Indigo,2407,No,Weekly,Male,Scarf,California,Venmo,PayPal,No,Winter,Standard,M,No,54,26,57,4.7
Clothing,Cluster 3,Beige,2408,No,Bi-Weekly,Male,Shorts,Illinois,Credit Card,Credit Card,No,Summer,Express,M,No,52,11,38,3
Footwear,Cluster 1,Black,2409,No,Every 3 Months,Male,Sneakers,Hawaii,PayPal,Debit Card,No,Fall,Next Day Air,XL,No,23,44,55,4.2
Accessories,Cluster 4,Yellow,2410,No,Every 3 Months,Male,Jewelry,Washington,Credit Card,Cash,No,Spring,Store Pickup,L,No,26,47,37,3
Footwear,Cluster 1,Maroon,2411,No,Monthly,Male,Shoes,Wisconsin,Venmo,PayPal,No,Summer,Free Shipping,M,No,48,46,43,3.7
Clothing,Cluster 3,Cyan,2412,No,Every 3 Months,Male,Hoodie,Virginia,Debit Card,Cash,No,Summer,Free Shipping,M,No,49,35,96,2.7
Outerwear,Cluster 2,Pink,2413,No,Bi-Weekly,Male,Jacket,Oregon,Debit Card,Bank Transfer,No,Winter,2-Day Shipping,M,No,53,8,51,4.3
Clothing,Cluster 3,Violet,2414,No,Weekly,Male,Shorts,Pennsylvania,Bank Transfer,Bank Transfer,No,Fall,2-Day Shipping,XL,No,69,30,95,2.7
Clothing,Cluster 3,Lavender,2415,No,Bi-Weekly,Male,Socks,Virginia,PayPal,Credit Card,No,Summer,Next Day Air,M,No,26,14,26,3.7
Outerwear,Cluster 2,Lavender,2416,No,Weekly,Male,Coat,Hawaii,Cash,Bank Transfer,No,Fall,Standard,XL,No,21,30,34,4.3
Footwear,Cluster 1,Black,2417,No,Every 3 Months,Male,Sandals,Nebraska,Cash,Credit Card,No,Summer,Next Day Air,S,No,59,26,83,4
Accessories,Cluster 4,Olive,2418,No,Fortnightly,Male,Backpack,Alaska,Bank Transfer,Venmo,No,Fall,Standard,M,No,21,32,24,3.3
Clothing,Cluster 3,Indigo,2419,No,Every 3 Months,Male,Pants,Michigan,Bank Transfer,Cash,No,Fall,Next Day Air,S,No,22,47,69,4
Clothing,Cluster 3,Blue,2420,No,Every 3 Months,Male,Sweater,North Carolina,Venmo,Credit Card,No,Fall,Next Day Air,M,No,26,11,40,2.7
Outerwear,Cluster 2,Green,2421,No,Annually,Male,Jacket,North Carolina,PayPal,PayPal,No,Winter,Free Shipping,S,No,41,28,87,4.2
Footwear,Cluster 1,Pink,2422,No,Every 3 Months,Male,Sneakers,Minnesota,PayPal,Debit Card,No,Spring,Standard,L,No,37,2,46,4.6
Accessories,Cluster 4,Peach,2423,No,Weekly,Male,Jewelry,Georgia,Credit Card,Credit Card,No,Winter,Store Pickup,M,No,30,45,82,4.8
Accessories,Cluster 4,Purple,2424,No,Every 3 Months,Male,Backpack,West Virginia,PayPal,Credit Card,No,Summer,Free Shipping,M,No,49,7,81,2.8
Accessories,Cluster 4,Peach,2425,No,Bi-Weekly,Male,Jewelry,Delaware,Debit Card,Bank Transfer,No,Winter,Next Day Air,M,No,49,28,57,4.5
Footwear,Cluster 1,Olive,2426,No,Quarterly,Male,Shoes,North Dakota,Venmo,Bank Transfer,No,Summer,2-Day Shipping,S,No,58,34,49,3
Outerwear,Cluster 2,Olive,2427,No,Every 3 Months,Male,Jacket,Florida,Venmo,Debit Card,No,Fall,Free Shipping,M,No,70,26,42,4.6
Outerwear,Cluster 2,Purple,2428,No,Quarterly,Male,Jacket,Oregon,Debit Card,Cash,No,Spring,Standard,M,No,27,45,26,3.3
Clothing,Cluster 3,Violet,2429,No,Annually,Male,T-shirt,Idaho,PayPal,Debit Card,No,Spring,Next Day Air,M,No,65,34,38,4.4
Footwear,Cluster 1,Maroon,2430,No,Fortnightly,Male,Sneakers,Virginia,PayPal,Credit Card,No,Summer,Standard,XL,No,57,47,57,4.4
Outerwear,Cluster 2,White,2431,No,Quarterly,Male,Jacket,North Dakota,Cash,Cash,No,Summer,Express,XL,No,20,42,100,4.3
Clothing,Cluster 3,Olive,2432,No,Every 3 Months,Male,Hoodie,Alabama,Cash,Bank Transfer,No,Fall,Express,S,No,34,27,73,3.4
Outerwear,Cluster 2,Peach,2433,No,Monthly,Male,Jacket,Hawaii,PayPal,Venmo,No,Winter,Store Pickup,M,No,59,43,66,2.8
Clothing,Cluster 3,Blue,2434,No,Bi-Weekly,Male,T-shirt,Oregon,Cash,Cash,No,Spring,Standard,M,No,54,16,73,3.4
Accessories,Cluster 4,Brown,2435,No,Monthly,Male,Gloves,Utah,Cash,Credit Card,No,Spring,Store Pickup,M,No,36,40,45,5
Footwear,Cluster 1,Black,2436,No,Bi-Weekly,Male,Sneakers,Hawaii,Cash,Cash,No,Fall,Free Shipping,S,No,21,29,27,4.5
Clothing,Cluster 3,Yellow,2437,No,Quarterly,Male,T-shirt,Connecticut,Credit Card,Credit Card,No,Fall,Store Pickup,M,No,52,38,24,2.7
Footwear,Cluster 1,Magenta,2438,No,Weekly,Male,Sneakers,Wyoming,Credit Card,Credit Card,No,Winter,Store Pickup,XL,No,43,34,59,3.4
Clothing,Cluster 3,Cyan,2439,No,Weekly,Male,Jeans,Delaware,Cash,Venmo,No,Winter,Express,S,No,32,30,20,3.4
Accessories,Cluster 4,Maroon,2440,No,Annually,Male,Handbag,Arkansas,Cash,Bank Transfer,No,Summer,Standard,M,No,55,45,44,2.8
Clothing,Cluster 3,Red,2441,No,Annually,Male,Socks,Indiana,Bank Transfer,Bank Transfer,No,Spring,Standard,M,No,31,47,90,4.7
Accessories,Cluster 4,Black,2442,No,Monthly,Male,Jewelry,California,Credit Card,Credit Card,No,Fall,Free Shipping,M,No,45,5,36,4.7
Clothing,Cluster 3,Violet,2443,No,Bi-Weekly,Male,Blouse,Wyoming,PayPal,Debit Card,No,Winter,Free Shipping,L,No,53,50,95,4.7
Accessories,Cluster 4,Green,2444,No,Bi-Weekly,Male,Backpack,South Dakota,Venmo,Bank Transfer,No,Spring,2-Day Shipping,M,No,24,24,30,3.4
Accessories,Cluster 4,Gold,2445,No,Bi-Weekly,Male,Scarf,West Virginia,Cash,Debit Card,No,Fall,Express,S,No,47,15,65,3.7
Accessories,Cluster 4,Brown,2446,No,Weekly,Male,Scarf,Tennessee,PayPal,Cash,No,Summer,Store Pickup,M,No,63,50,96,4.1
Clothing,Cluster 3,Peach,2447,No,Monthly,Male,Shirt,Alaska,Cash,Credit Card,No,Spring,2-Day Shipping,L,No,38,7,65,2.9
Clothing,Cluster 3,Peach,2448,No,Fortnightly,Male,Pants,South Dakota,Venmo,Venmo,No,Fall,Store Pickup,L,No,59,10,47,3.2
Accessories,Cluster 4,Violet,2449,No,Bi-Weekly,Male,Hat,Tennessee,Bank Transfer,PayPal,No,Fall,Free Shipping,S,No,54,38,25,3
Outerwear,Cluster 2,Violet,2450,No,Fortnightly,Male,Coat,Alabama,Debit Card,Venmo,No,Fall,Express,S,No,26,31,56,4.1
Clothing,Cluster 3,Magenta,2451,No,Quarterly,Male,T-shirt,North Carolina,Venmo,Venmo,No,Fall,Standard,M,No,68,7,76,4.5
Clothing,Cluster 3,Purple,2452,No,Monthly,Male,Socks,Oklahoma,Debit Card,Venmo,No,Fall,Store Pickup,M,No,41,27,60,3.4
Clothing,Cluster 3,Purple,2453,No,Every 3 Months,Male,Shirt,New York,Venmo,Bank Transfer,No,Winter,Express,L,No,68,45,67,4.1
Clothing,Cluster 3,Cyan,2454,No,Annually,Male,Sweater,Iowa,PayPal,Cash,No,Spring,Store Pickup,XL,No,21,13,95,4.6
Accessories,Cluster 4,Magenta,2455,No,Annually,Male,Gloves,Alaska,Bank Transfer,Venmo,No,Winter,Express,M,No,32,33,72,4.6
Accessories,Cluster 4,Lavender,2456,No,Every 3 Months,Male,Belt,Alaska,PayPal,Cash,No,Spring,Express,L,No,20,25,98,3.4
Clothing,Cluster 3,Green,2457,No,Monthly,Male,Jeans,Nebraska,Credit Card,PayPal,No,Winter,2-Day Shipping,M,No,59,5,83,3.3
Accessories,Cluster 4,Maroon,2458,No,Quarterly,Male,Handbag,Delaware,PayPal,Cash,No,Fall,2-Day Shipping,M,No,53,23,37,3.6
Clothing,Cluster 3,Turquoise,2459,No,Weekly,Male,T-shirt,Texas,Bank Transfer,Bank Transfer,No,Fall,Free Shipping,L,No,66,17,85,4.6
Clothing,Cluster 3,Violet,2460,No,Weekly,Male,Socks,Missouri,PayPal,Cash,No,Fall,2-Day Shipping,L,No,47,14,36,4.3
Clothing,Cluster 3,Lavender,2461,No,Annually,Male,Jeans,Maine,Venmo,Credit Card,No,Winter,Store Pickup,S,No,58,28,36,4
Accessories,Cluster 4,Red,2462,No,Weekly,Male,Scarf,Pennsylvania,PayPal,Credit Card,No,Summer,Next Day Air,L,No,28,19,86,4.8
Clothing,Cluster 3,Orange,2463,No,Bi-Weekly,Male,Pants,Missouri,Venmo,Bank Transfer,No,Spring,Standard,XL,No,68,31,99,4.3
Clothing,Cluster 3,Indigo,2464,No,Bi-Weekly,Male,Blouse,Mississippi,Bank Transfer,Cash,No,Summer,Standard,XL,No,60,25,21,3.3
Outerwear,Cluster 2,Teal,2465,No,Bi-Weekly,Male,Jacket,Hawaii,Debit Card,Cash,No,Winter,Express,L,No,47,4,84,2.8
Footwear,Cluster 1,Brown,2466,No,Weekly,Male,Sandals,Texas,Cash,Bank Transfer,No,Spring,Free Shipping,M,No,18,20,63,4.4
Clothing,Cluster 3,Pink,2467,No,Annually,Male,Shorts,South Dakota,Cash,Cash,No,Summer,Express,S,No,32,37,84,3.7
Clothing,Cluster 3,Lavender,2468,No,Annually,Male,Shorts,New Jersey,Debit Card,Credit Card,No,Spring,Express,M,No,27,28,72,3.6
Clothing,Cluster 3,Cyan,2469,No,Weekly,Male,Skirt,Connecticut,Credit Card,Venmo,No,Winter,2-Day Shipping,L,No,65,6,21,3.7
Footwear,Cluster 1,Yellow,2470,No,Annually,Male,Sandals,Maryland,Cash,PayPal,No,Fall,Standard,M,No,68,27,92,5
Clothing,Cluster 3,Pink,2471,No,Fortnightly,Male,Blouse,Arizona,Cash,Credit Card,No,Fall,Next Day Air,XL,No,55,29,72,2.7
Footwear,Cluster 1,Gray,2472,No,Annually,Male,Sandals,Oklahoma,Cash,Cash,No,Spring,Store Pickup,M,No,30,1,83,4.3
Clothing,Cluster 3,Peach,2473,No,Annually,Male,Shirt,Utah,Bank Transfer,Credit Card,No,Summer,Standard,M,No,24,31,73,4.1
Clothing,Cluster 3,Red,2474,No,Quarterly,Male,Socks,Arkansas,Cash,Cash,No,Winter,Next Day Air,M,No,57,28,98,2.6
Clothing,Cluster 3,Olive,2475,No,Quarterly,Male,T-shirt,North Carolina,Cash,Bank Transfer,No,Fall,Store Pickup,M,No,23,19,76,3.2
Clothing,Cluster 3,Lavender,2476,No,Monthly,Male,Dress,California,Bank Transfer,Venmo,No,Summer,Next Day Air,S,No,69,36,43,3.5
Accessories,Cluster 4,Turquoise,2477,No,Monthly,Male,Hat,Colorado,Debit Card,Cash,No,Summer,Next Day Air,M,No,60,28,60,3.7
Accessories,Cluster 4,Turquoise,2478,No,Weekly,Male,Gloves,California,Debit Card,PayPal,No,Spring,2-Day Shipping,L,No,25,29,40,3.8
Clothing,Cluster 3,Maroon,2479,No,Every 3 Months,Male,Socks,Vermont,Cash,Bank Transfer,No,Winter,2-Day Shipping,S,No,18,9,93,4.8
Clothing,Cluster 3,Olive,2480,No,Every 3 Months,Male,Dress,Kansas,Venmo,Credit Card,No,Fall,Standard,S,No,37,26,98,4.2
Clothing,Cluster 3,Maroon,2481,No,Fortnightly,Male,Socks,Ohio,Debit Card,Credit Card,No,Summer,Next Day Air,XL,No,61,7,91,2.9
Accessories,Cluster 4,Cyan,2482,No,Weekly,Male,Belt,New Jersey,Venmo,Debit Card,No,Fall,Free Shipping,XL,No,41,35,92,2.9
Accessories,Cluster 4,Peach,2483,No,Every 3 Months,Male,Handbag,Arizona,PayPal,Credit Card,No,Winter,Next Day Air,S,No,69,46,87,4.8
Clothing,Cluster 3,Teal,2484,No,Monthly,Male,Skirt,Arizona,PayPal,Debit Card,No,Fall,Standard,S,No,32,8,96,2.9
Clothing,Cluster 3,Green,2485,No,Every 3 Months,Male,Hoodie,New Hampshire,Bank Transfer,Cash,No,Summer,2-Day Shipping,M,No,60,50,97,4.8
Clothing,Cluster 3,Beige,2486,No,Annually,Male,Blouse,Louisiana,Credit Card,Bank Transfer,No,Spring,2-Day Shipping,M,No,43,37,55,4.6
Clothing,Cluster 3,Magenta,2487,No,Fortnightly,Male,Jeans,Texas,Credit Card,Credit Card,No,Spring,Store Pickup,L,No,61,6,58,4.4
Footwear,Cluster 1,Violet,2488,No,Bi-Weekly,Male,Boots,Montana,PayPal,PayPal,No,Spring,Next Day Air,L,No,57,16,21,3
Accessories,Cluster 4,Charcoal,2489,No,Monthly,Male,Handbag,New Hampshire,Credit Card,PayPal,No,Summer,Express,XL,No,56,30,82,4.4
Outerwear,Cluster 2,Green,2490,No,Quarterly,Male,Coat,South Dakota,Credit Card,Venmo,No,Winter,Express,M,No,66,50,34,3.9
Clothing,Cluster 3,Gray,2491,No,Every 3 Months,Male,Blouse,Montana,PayPal,Cash,No,Spring,Free Shipping,M,No,52,5,78,4
Accessories,Cluster 4,Magenta,2492,No,Monthly,Male,Handbag,North Carolina,Debit Card,Bank Transfer,No,Spring,Express,M,No,63,15,47,2.5
Accessories,Cluster 4,Silver,2493,No,Bi-Weekly,Male,Sunglasses,South Dakota,Venmo,Bank Transfer,No,Summer,Next Day Air,S,No,50,34,96,4.1
Clothing,Cluster 3,Beige,2494,No,Every 3 Months,Male,Socks,Maine,Cash,Venmo,No,Fall,2-Day Shipping,S,No,21,6,23,4.8
Footwear,Cluster 1,Peach,2495,No,Annually,Male,Shoes,Oklahoma,PayPal,Debit Card,No,Winter,Store Pickup,S,No,42,26,27,2.6
Accessories,Cluster 4,Orange,2496,No,Every 3 Months,Male,Backpack,Nebraska,Bank Transfer,Credit Card,No,Spring,Free Shipping,XL,No,40,34,37,3.1
Accessories,Cluster 4,Yellow,2497,No,Weekly,Male,Scarf,Illinois,Bank Transfer,Credit Card,No,Summer,Store Pickup,S,No,67,37,79,3.2
Accessories,Cluster 4,Violet,2498,No,Annually,Male,Backpack,Colorado,Bank Transfer,Bank Transfer,No,Summer,Standard,M,No,35,28,40,4.2
Outerwear,Cluster 2,Green,2499,No,Fortnightly,Male,Coat,Massachusetts,Cash,Cash,No,Fall,Next Day Air,S,No,18,38,39,2.6
Clothing,Cluster 3,Pink,2500,No,Quarterly,Male,Hoodie,Louisiana,Debit Card,Cash,No,Summer,Next Day Air,L,No,52,2,73,3.1
Accessories,Cluster 4,Violet,2501,No,Bi-Weekly,Male,Gloves,Massachusetts,Credit Card,Cash,No,Fall,Store Pickup,M,No,59,32,84,2.9
Clothing,Cluster 3,Violet,2502,No,Bi-Weekly,Male,Shorts,West Virginia,Cash,Venmo,No,Fall,Free Shipping,M,No,49,30,94,4.6
Clothing,Cluster 3,Pink,2503,No,Every 3 Months,Male,Skirt,Idaho,Cash,PayPal,No,Spring,Standard,L,No,46,17,47,4.1
Footwear,Cluster 1,Violet,2504,No,Bi-Weekly,Male,Boots,Ohio,PayPal,Debit Card,No,Summer,Store Pickup,M,No,69,5,77,2.5
Clothing,Cluster 3,Turquoise,2505,No,Bi-Weekly,Male,Shorts,Rhode Island,Credit Card,Cash,No,Winter,Store Pickup,M,No,56,31,94,4
Accessories,Cluster 4,Cyan,2506,No,Quarterly,Male,Handbag,Illinois,PayPal,PayPal,No,Summer,Express,M,No,27,43,75,3.5
Clothing,Cluster 3,Orange,2507,No,Annually,Male,Dress,New York,Debit Card,Venmo,No,Spring,Free Shipping,XL,No,57,19,82,4.4
Footwear,Cluster 1,Cyan,2508,No,Every 3 Months,Male,Shoes,Louisiana,PayPal,Credit Card,No,Fall,Store Pickup,M,No,58,32,36,2.9
Footwear,Cluster 1,Indigo,2509,No,Bi-Weekly,Male,Sneakers,California,Cash,Debit Card,No,Spring,2-Day Shipping,XL,No,23,5,90,3.1
Clothing,Cluster 3,Black,2510,No,Quarterly,Male,Socks,Washington,PayPal,Bank Transfer,No,Spring,Free Shipping,M,No,19,9,48,4.4
Outerwear,Cluster 2,Purple,2511,No,Weekly,Male,Jacket,South Dakota,Cash,Credit Card,No,Winter,Standard,L,No,40,48,42,4.4
Accessories,Cluster 4,Cyan,2512,No,Quarterly,Male,Backpack,Idaho,Debit Card,PayPal,No,Summer,Store Pickup,M,No,54,1,33,2.7
Clothing,Cluster 3,Green,2513,No,Monthly,Male,Socks,North Dakota,Credit Card,Credit Card,No,Summer,Free Shipping,M,No,50,20,63,4.9
Accessories,Cluster 4,Teal,2514,No,Annually,Male,Handbag,Washington,Debit Card,Cash,No,Winter,2-Day Shipping,L,No,69,42,53,3.5
Accessories,Cluster 4,Teal,2515,No,Bi-Weekly,Male,Hat,Alaska,Debit Card,PayPal,No,Spring,Free Shipping,L,No,42,45,37,4.8
Clothing,Cluster 3,Magenta,2516,No,Monthly,Male,Blouse,Kansas,Bank Transfer,Cash,No,Summer,2-Day Shipping,M,No,37,41,92,4.2
Clothing,Cluster 3,Brown,2517,No,Quarterly,Male,Shorts,Utah,Bank Transfer,Debit Card,No,Spring,Standard,XL,No,46,36,73,4.6
Clothing,Cluster 3,Orange,2518,No,Annually,Male,Shirt,Wyoming,Credit Card,Venmo,No,Spring,Standard,L,No,64,10,38,2.9
Footwear,Cluster 1,Blue,2519,No,Annually,Male,Boots,Maine,PayPal,Venmo,No,Fall,Store Pickup,XL,No,20,31,51,4
